기간	지역	인구	면적	인구밀도(명/㎢)
2021	합계	9,736,027	605.24	16,086
2021	종로구	153,789	23.91	6,431
2021	중구	131,787	9.96	13,231
2021	용산구	237,285	21.87	10,852
2021	성동구	292,672	16.86	17,359
2021	광진구	352,627	17.06	20,666
2021	동대문구	352,006	14.22	24,762
2021	중랑구	391,885	18.5	21,188
2021	성북구	440,142	24.58	17,909
2021	강북구	302,563	23.6	12,820
2021	도봉구	319,373	20.65	15,465
2021	노원구	514,946	35.44	14,530
2021	은평구	477,173	29.71	16,061
2021	서대문구	315,659	17.63	17,908
2021	마포구	378,686	23.85	15,878
2021	양천구	450,487	17.41	25,882
2021	강서구	579,768	41.45	13,986
2021	구로구	421,163	20.12	20,933
2021	금천구	244,891	13.02	18,808
2021	영등포구	400,908	24.55	16,331
2021	동작구	394,364	16.36	24,113
2021	관악구	499,449	29.57	16,891
2021	서초구	416,167	46.98	8,858
2021	강남구	537,800	39.5	13,616
2021	송파구	663,965	33.88	19,599
2021	강동구	466,472	24.59	18,970
